"","diNT","Freq","Rho","Z"
"1","aa",363.590361445783,1.01084333645064,0.257883089232441
"2","ac",573.139759036145,1.0452774097218,1.4219824821851
"3","ag",499.106024096386,0.974275213738283,-0.77031183385373
"4","at",364.886746987952,0.957603232690933,-1.04340338955782
"5","ca",644.898795180723,1.17613594523637,5.53287611969258
"6","cc",859.428915662651,1.02811332668026,1.16923071887897
"7","cg",570.792771084337,0.730813499775661,-10.6719276275403
"8","ct",671.156626506024,1.15539621380236,5.06467991394296
"9","ga",497.419277108434,0.970984916403695,-0.868672007187647
"10","gc",737.73734939759,0.944602751933987,-2.19652567735875
"11","gg",825.869879518072,1.13174871892288,4.97846108683816
"12","gt",505.089156626506,0.930629667998856,-2.15464668667908
"13","ta",294.86265060241,0.773793842213526,-5.56632360029481
"14","tc",576.255421686747,0.992037793540604,-0.25974062211142
"15","tg",669.992771084337,1.23447834615397,7.28270798659003
"16","tt",368.412048192771,0.910278849616435,-2.29183323883663
